delivery_id,match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,batsman_runs,extras,total_runs,is_wicket,dismissal_kind
1,1,1,Chennai Super Kings,Mumbai Indians,1,1,Ravindra Jadeja,Ishan Kishan,2,0,2,0,
2,1,1,Chennai Super Kings,Mumbai Indians,1,2,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
3,1,1,Chennai Super Kings,Mumbai Indians,1,3,MS Dhoni,Jasprit Bumrah,1,0,1,0,
4,1,1,Chennai Super Kings,Mumbai Indians,1,4,Ravindra Jadeja,Ishan Kishan,0,0,0,0,
5,1,1,Chennai Super Kings,Mumbai Indians,1,5,Ruturaj Gaikwad,Jasprit Bumrah,0,0,0,0,
6,1,1,Chennai Super Kings,Mumbai Indians,1,6,MS Dhoni,Hardik Pandya,0,0,0,0,
7,1,1,Chennai Super Kings,Mumbai Indians,2,1,Ravindra Jadeja,Jasprit Bumrah,1,0,1,0,
8,1,1,Chennai Super Kings,Mumbai Indians,2,2,Ruturaj Gaikwad,Ishan Kishan,2,0,2,0,
9,1,1,Chennai Super Kings,Mumbai Indians,2,3,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
10,1,1,Chennai Super Kings,Mumbai Indians,2,4,Ruturaj Gaikwad,Jasprit Bumrah,4,0,4,0,
11,1,1,Chennai Super Kings,Mumbai Indians,2,5,Ruturaj Gaikwad,Jasprit Bumrah,1,1,2,0,
12,1,1,Chennai Super Kings,Mumbai Indians,2,6,MS Dhoni,Hardik Pandya,0,0,0,0,
13,1,1,Chennai Super Kings,Mumbai Indians,3,1,Ruturaj Gaikwad,Hardik Pandya,0,0,0,0,
14,1,1,Chennai Super Kings,Mumbai Indians,3,2,Ruturaj Gaikwad,Hardik Pandya,2,0,2,0,
15,1,1,Chennai Super Kings,Mumbai Indians,3,3,MS Dhoni,Ishan Kishan,2,0,2,0,
16,1,1,Chennai Super Kings,Mumbai Indians,3,4,Ruturaj Gaikwad,Hardik Pandya,6,0,6,0,
17,1,1,Chennai Super Kings,Mumbai Indians,3,5,Ravindra Jadeja,Jasprit Bumrah,2,0,2,0,
18,1,1,Chennai Super Kings,Mumbai Indians,3,6,Ravindra Jadeja,Ishan Kishan,2,0,2,0,
19,1,1,Chennai Super Kings,Mumbai Indians,4,1,Ruturaj Gaikwad,Hardik Pandya,1,0,1,0,
20,1,1,Chennai Super Kings,Mumbai Indians,4,2,Ruturaj Gaikwad,Hardik Pandya,1,0,1,0,
