match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
1,2020,2020-09-19,Jaipur,Sawai Mansingh Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,75,0,MS Dhoni
2,2020,2020-09-22,Mumbai,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,77,0,Aiden Markram
3,2020,2020-09-25,Mohali,PCA Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,60,0,Bhuvneshwar Kumar
4,2020,2020-09-28,Kolkata,Eden Gardens,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,51,0,Ravindra Jadeja
5,2020,2020-10-01,Mumbai,Wankhede Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,0,2,Shimron Hetmyer
6,2020,2020-10-04,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,43,0,Sanju Samson
7,2020,2020-10-07,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,3,Bhuvneshwar Kumar
8,2020,2020-10-10,Jaipur,Sawai Mansingh Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,26,0,Kuldeep Yadav
9,2020,2020-10-13,Kolkata,Eden Gardens,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,46,0,Mohammed Siraj
10,2020,2020-10-16,Kolkata,Eden Gardens,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,0,8,Jos Buttler
11,2020,2020-10-19,Kolkata,Eden Gardens,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,0,6,Jos Buttler
12,2020,2020-10-22,Mohali,PCA Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,26,0,Ravichandran Ashwin
13,2020,2020-10-25,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,20,0,Deepak Chahar
14,2020,2020-10-28,Delhi,Arun Jaitley Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,0,1,Yuzvendra Chahal
15,2020,2020-10-31,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,75,0,Shimron Hetmyer
16,2020,2020-11-03,Delhi,Arun Jaitley Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,0,5,Jos Buttler
17,2020,2020-11-06,Chennai,MA Chidambaram Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,22,0,Devon Conway
18,2020,2020-11-09,Hyderabad,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,0,6,Liam Livingstone
19,2020,2020-11-12,Kolkata,Eden Gardens,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Punjab Kings,34,0,Shikhar Dhawan
20,2020,2020-11-15,Mumbai,Wankhede Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,0,2,Rishabh Pant
21,2020,2020-11-18,Mohali,PCA Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,0,4,Mohammed Siraj
22,2020,2020-11-21,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Kane Williamson
23,2020,2020-11-24,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,74,0,Hardik Pandya
24,2020,2020-11-27,Bangalore,Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,62,0,Rinku Singh
25,2020,2020-11-30,Mumbai,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,0,8,Ruturaj Gaikwad
26,2020,2020-12-03,Bangalore,Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,0,8,Bhuvneshwar Kumar
27,2020,2020-12-06,Mohali,PCA Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,75,0,Kane Williamson
28,2020,2020-12-09,Mumbai,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,29,0,Rohit Sharma
29,2020,2020-12-12,Kolkata,Eden Gardens,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Chennai Super Kings,11,0,Deepak Chahar
30,2020,2020-12-15,Delhi,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,0,4,Ravindra Jadeja
31,2020,2020-12-18,Jaipur,Sawai Mansingh Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,7,0,T Natarajan
32,2020,2020-12-21,Kolkata,Eden Gardens,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,37,0,Ravindra Jadeja
33,2020,2020-12-24,Mohali,PCA Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,0,2,Jos Buttler
34,2020,2020-12-27,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,49,0,Jos Buttler
35,2020,2020-12-30,Mohali,PCA Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Punjab Kings,0,5,Shikhar Dhawan
36,2020,2021-01-02,Bangalore,Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,0,9,Rohit Sharma
37,2020,2021-01-05,Bangalore,Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,61,0,Suryakumar Yadav
38,2020,2021-01-08,Delhi,Arun Jaitley Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,19,0,Jasprit Bumrah
39,2020,2021-01-11,Bangalore,Chinnaswamy Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,58,0,Sanju Samson
40,2020,2021-01-14,Delhi,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,54,0,David Warner
41,2020,2021-01-17,Kolkata,Eden Gardens,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,34,0,MS Dhoni
42,2020,2021-01-20,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,0,6,Rinku Singh
43,2020,2021-01-23,Delhi,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,0,3,Rishabh Pant
44,2020,2021-01-26,Chennai,MA Chidambaram Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,0,7,Shimron Hetmyer
45,2020,2021-01-29,Kolkata,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,72,0,Deepak Chahar
46,2020,2021-02-01,Hyderabad,Rajiv Gandhi International Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,44,0,Dinesh Karthik
47,2020,2021-02-04,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,30,0,Ravichandran Ashwin
48,2020,2021-02-07,Bangalore,Chinnaswamy Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,44,0,Axar Patel
49,2020,2021-02-10,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,71,0,Liam Livingstone
50,2020,2021-02-13,Chennai,MA Chidambaram Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,45,0,Prithvi Shaw
51,2020,2021-02-16,Mumbai,Wankhede Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,64,0,Devon Conway
